Roll No.,Name,Number of courses they wish to take,First course preference,Second course preference,Third course preference,Fourth course preference,Fifth course preference,Sixth course preference
21520178,Deacon Nielsen,3,ES 415-Nature-inspired Materials Design,CE 636-Traffic and Roadway Engineering,MA 603-Nonlinear Analysis with Applications,CE 304-Concrete Design,CL 628-Liquid State Theory,EH 617-Advanced Field Techniques in Earth Sciences
21110935,Vienna Rose,4,CE 304-Concrete Design,CH 401-Food Chemistry,CL 221-Chemical Engineering Thermodynamics,HS 649-Public Policy and its Impact Evaluation,MA 603-Nonlinear Analysis with Applications,CL 604-Advanced Reaction Engineering
20520582,Hayden Jacobs,2,CL 628-Liquid State Theory,MSE 625-Thermodynamics of thin film growth,MSE 209-Material Thermodynamics and Kinetics,,,
23520151,Camilla Sharp,4,MA 603-Nonlinear Analysis with Applications,ES 613-Modern Control Theory,MA 605-Commutative Algebra,ME 636-Fuel Cell and Battery Systems,,
19520610,Royce Shelton,2,MSE 310-Physics of Materials,CL 221-Chemical Engineering Thermodynamics,MA 624-Partial Differential Equations,ES 613-Modern Control Theory,MSE 209-Material Thermodynamics and Kinetics,ES 623-Biomolecular Materials Science
21510343,Makenzie Butler,4,MA 603-Nonlinear Analysis with Applications,MSE 310-Physics of Materials,ME 636-Fuel Cell and Battery Systems,ES 613-Modern Control Theory,EH 617-Advanced Field Techniques in Earth Sciences,
23110490,Ryder Rowe,4,CL 221-Chemical Engineering Thermodynamics,ME 636-Fuel Cell and Battery Systems,HS 649-Public Policy and its Impact Evaluation,CL 604-Advanced Reaction Engineering,,
21510714,Matilda Wilkerson,2,MS 404-Neuromarketing,MA 603-Nonlinear Analysis with Applications,CE 304-Concrete Design,CL 604-Advanced Reaction Engineering,,
20520125,Carmelo Manning,2,CG 506-Experimental Techniques in Cognitive Science,MA 605-Commutative Algebra,ES 623-Biomolecular Materials Science,,,
22110072,Jennifer French,2,ME 636-Fuel Cell and Battery Systems,EH 614-Physics of the Lithosphere,CL 604-Advanced Reaction Engineering,,,
21510009,Corey Wilkerson,1,ES 243-Biology for Engineers,,,,,
22520871,Janiyah Palacios,3,MS 404-Neuromarketing,MA 624-Partial Differential Equations,MSE 625-Thermodynamics of thin film growth,ES 613-Modern Control Theory,HS 643-Indian and Western Cultural Theory,
22510900,Thaddeus Lim,3,CL 221-Chemical Engineering Thermodynamics,EH 617-Advanced Field Techniques in Earth Sciences,ES 613-Modern Control Theory,HS 649-Public Policy and its Impact Evaluation,CG 506-Experimental Techniques in Cognitive Science,ES 623-Biomolecular Materials Science
19520648,Giavanna Daugherty,1,MSE 310-Physics of Materials,ES 415-Nature-inspired Materials Design,CE 636-Traffic and Roadway Engineering,CL 221-Chemical Engineering Thermodynamics,,
21520565,Turner Nicholson,2,MSE 625-Thermodynamics of thin film growth,HS 643-Indian and Western Cultural Theory,MSE 209-Material Thermodynamics and Kinetics,MA 624-Partial Differential Equations,,
23510056,Justice Hughes,2,EH 614-Physics of the Lithosphere,PH 607-Topics in Quantum and Statistical Mechanics,MSE 209-Material Thermodynamics and Kinetics,HS 632-A Multilingual Nation,,
22110707,Everett Valdez,4,MSE 209-Material Thermodynamics and Kinetics,ES 623-Biomolecular Materials Science,ME 321-Mechanics of Deformable Bodies,ES 243-Biology for Engineers,,
21110053,Diana Middleton,4,ES 613-Modern Control Theory,MSE 310-Physics of Materials,ES 415-Nature-inspired Materials Design,MA 603-Nonlinear Analysis with Applications,,
19510207,Misael Collier,3,CE 636-Traffic and Roadway Engineering,MA 603-Nonlinear Analysis with Applications,CS 303-Mathematical Foundations for AI,,,
23110853,Ivory Kennedy,4,MSE 401-Introduction to Polymer Physics and Processing,MSE 209-Material Thermodynamics and Kinetics,MA 603-Nonlinear Analysis with Applications,CL 604-Advanced Reaction Engineering,HS 643-Indian and Western Cultural Theory,EH 617-Advanced Field Techniques in Earth Sciences
22510822,Maxwell Brandt,3,ES 613-Modern Control Theory,ME 636-Fuel Cell and Battery Systems,CH 401-Food Chemistry,MA 605-Commutative Algebra,,
20510346,Loretta Lam,2,CL 604-Advanced Reaction Engineering,MSE 625-Thermodynamics of thin film growth,,,,
20510908,Bodie O’Neill,2,MSE 310-Physics of Materials,ES 243-Biology for Engineers,HS 649-Public Policy and its Impact Evaluation,MSE 625-Thermodynamics of thin film growth,,
22520327,Kenna Silva,1,MSE 401-Introduction to Polymer Physics and Processing,MA 605-Commutative Algebra,MA 624-Partial Differential Equations,ES 613-Modern Control Theory,HS 649-Public Policy and its Impact Evaluation,CL 628-Liquid State Theory
23510543,Luka Garrison,2,HS 643-Indian and Western Cultural Theory,CL 604-Advanced Reaction Engineering,,,,
20510796,Cadence Meadows,3,MSE 401-Introduction to Polymer Physics and Processing,MA 603-Nonlinear Analysis with Applications,CL 221-Chemical Engineering Thermodynamics,,,
21110762,Wayne White,4,HS 632-A Multilingual Nation,MSE 209-Material Thermodynamics and Kinetics,MA 605-Commutative Algebra,MA 603-Nonlinear Analysis with Applications,ME 321-Mechanics of Deformable Bodies,
22510073,Layla Chung,2,ME 321-Mechanics of Deformable Bodies,PH 607-Topics in Quantum and Statistical Mechanics,MSE 401-Introduction to Polymer Physics and Processing,,,
19110190,Ira Berg,2,ES 613-Modern Control Theory,MA 624-Partial Differential Equations,HS 649-Public Policy and its Impact Evaluation,ME 321-Mechanics of Deformable Bodies,ES 243-Biology for Engineers,
22510648,Emmalyn Delarosa,2,HS 643-Indian and Western Cultural Theory,ME 636-Fuel Cell and Battery Systems,CH 401-Food Chemistry,MSE 401-Introduction to Polymer Physics and Processing,,
23110641,Osiris Chen,4,MA 603-Nonlinear Analysis with Applications,CL 221-Chemical Engineering Thermodynamics,ME 321-Mechanics of Deformable Bodies,CL 628-Liquid State Theory,CH 401-Food Chemistry,MSE 310-Physics of Materials
20510874,Valeria McKee,4,MS 404-Neuromarketing,PH 607-Topics in Quantum and Statistical Mechanics,ES 243-Biology for Engineers,CL 604-Advanced Reaction Engineering,,
23510341,Bjorn Welch,3,CL 221-Chemical Engineering Thermodynamics,CS 303-Mathematical Foundations for AI,MA 624-Partial Differential Equations,MSE 401-Introduction to Polymer Physics and Processing,ME 636-Fuel Cell and Battery Systems,
20510462,Amira Hoffman,1,MS 404-Neuromarketing,ME 636-Fuel Cell and Battery Systems,,,,
20510983,Steven Jacobson,3,EH 617-Advanced Field Techniques in Earth Sciences,CH 401-Food Chemistry,CE 304-Concrete Design,MA 603-Nonlinear Analysis with Applications,MSE 401-Introduction to Polymer Physics and Processing,MSE 209-Material Thermodynamics and Kinetics
19510720,Royal Clayton,3,MSE 310-Physics of Materials,CL 628-Liquid State Theory,MA 624-Partial Differential Equations,ES 613-Modern Control Theory,ES 415-Nature-inspired Materials Design,CL 221-Chemical Engineering Thermodynamics
22110979,Boston Wilson,4,MSE 401-Introduction to Polymer Physics and Processing,MA 605-Commutative Algebra,HS 643-Indian and Western Cultural Theory,CL 604-Advanced Reaction Engineering,MSE 209-Material Thermodynamics and Kinetics,EH 617-Advanced Field Techniques in Earth Sciences
22520984,Luna Collier,2,MA 624-Partial Differential Equations,EH 614-Physics of the Lithosphere,HS 632-A Multilingual Nation,,,
23110851,Edison Ramos,4,CG 506-Experimental Techniques in Cognitive Science,CL 628-Liquid State Theory,MA 624-Partial Differential Equations,HS 643-Indian and Western Cultural Theory,CL 604-Advanced Reaction Engineering,
19510146,Alice Crawford,2,MA 603-Nonlinear Analysis with Applications,ES 613-Modern Control Theory,CL 604-Advanced Reaction Engineering,MSE 401-Introduction to Polymer Physics and Processing,,
20110799,Kevin Shelton,1,MSE 401-Introduction to Polymer Physics and Processing,,,,,
21110738,Makenzie Castaneda,1,ES 613-Modern Control Theory,CE 304-Concrete Design,,,,
21110495,Collin Butler,4,MSE 209-Material Thermodynamics and Kinetics,MSE 310-Physics of Materials,CL 604-Advanced Reaction Engineering,ES 613-Modern Control Theory,CE 636-Traffic and Roadway Engineering,MA 603-Nonlinear Analysis with Applications
23510935,Athena Daugherty,4,HS 649-Public Policy and its Impact Evaluation,MSE 209-Material Thermodynamics and Kinetics,CH 401-Food Chemistry,ME 636-Fuel Cell and Battery Systems,CS 303-Mathematical Foundations for AI,
19510420,Turner Soto,2,EH 617-Advanced Field Techniques in Earth Sciences,CH 401-Food Chemistry,CL 604-Advanced Reaction Engineering,MSE 310-Physics of Materials,CL 628-Liquid State Theory,
21510683,Brynlee Austin,3,MSE 209-Material Thermodynamics and Kinetics,CG 506-Experimental Techniques in Cognitive Science,CL 604-Advanced Reaction Engineering,ME 636-Fuel Cell and Battery Systems,ES 415-Nature-inspired Materials Design,MSE 401-Introduction to Polymer Physics and Processing
19510268,Omar Bell,4,ES 415-Nature-inspired Materials Design,MSE 310-Physics of Materials,ME 321-Mechanics of Deformable Bodies,MA 624-Partial Differential Equations,MSE 625-Thermodynamics of thin film growth,CH 401-Food Chemistry
19110875,Melody Sloan,1,PH 607-Topics in Quantum and Statistical Mechanics,CL 221-Chemical Engineering Thermodynamics,CL 604-Advanced Reaction Engineering,ES 243-Biology for Engineers,ES 413-Deep Learning,ME 321-Mechanics of Deformable Bodies
22110769,Ocean Delacruz,4,MSE 209-Material Thermodynamics and Kinetics,ME 321-Mechanics of Deformable Bodies,EH 617-Advanced Field Techniques in Earth Sciences,MA 603-Nonlinear Analysis with Applications,,
22520160,Celine Meza,4,CL 221-Chemical Engineering Thermodynamics,CG 506-Experimental Techniques in Cognitive Science,MSE 209-Material Thermodynamics and Kinetics,MSE 310-Physics of Materials,ME 636-Fuel Cell and Battery Systems,MA 624-Partial Differential Equations
23520774,Lucian Villanueva,3,ES 243-Biology for Engineers,MSE 401-Introduction to Polymer Physics and Processing,CL 221-Chemical Engineering Thermodynamics,MSE 625-Thermodynamics of thin film growth,MA 624-Partial Differential Equations,CL 628-Liquid State Theory
23110656,Monroe Simpson,4,MS 404-Neuromarketing,ES 243-Biology for Engineers,MSE 310-Physics of Materials,CL 221-Chemical Engineering Thermodynamics,,
19110541,Elliott Montes,3,HS 649-Public Policy and its Impact Evaluation,HS 643-Indian and Western Cultural Theory,CH 401-Food Chemistry,ES 613-Modern Control Theory,ME 321-Mechanics of Deformable Bodies,CL 221-Chemical Engineering Thermodynamics
19510802,Roselyn Marshall,1,MA 603-Nonlinear Analysis with Applications,EH 617-Advanced Field Techniques in Earth Sciences,CG 506-Experimental Techniques in Cognitive Science,ME 321-Mechanics of Deformable Bodies,,
22520952,Kaiden Solomon,4,HS 643-Indian and Western Cultural Theory,ME 321-Mechanics of Deformable Bodies,MSE 209-Material Thermodynamics and Kinetics,CL 604-Advanced Reaction Engineering,CE 304-Concrete Design,
22110302,Mylah Quinn,1,MSE 625-Thermodynamics of thin film growth,CS 303-Mathematical Foundations for AI,,,,
19510314,Rhys Whitaker,1,ES 613-Modern Control Theory,MA 605-Commutative Algebra,CE 624-River Engineering,MA 603-Nonlinear Analysis with Applications,MA 624-Partial Differential Equations,HS 643-Indian and Western Cultural Theory
21110423,Ivanna Nguyen,3,MA 605-Commutative Algebra,PH 607-Topics in Quantum and Statistical Mechanics,ES 613-Modern Control Theory,CL 221-Chemical Engineering Thermodynamics,HS 632-A Multilingual Nation,HS 649-Public Policy and its Impact Evaluation
21510585,Gabriel Ball,3,HS 643-Indian and Western Cultural Theory,CS 303-Mathematical Foundations for AI,MA 605-Commutative Algebra,MS 404-Neuromarketing,,
19110988,Abby Mayer,3,EH 617-Advanced Field Techniques in Earth Sciences,MSE 310-Physics of Materials,HS 643-Indian and Western Cultural Theory,ES 623-Biomolecular Materials Science,CS 303-Mathematical Foundations for AI,
22510459,Yahir Walton,2,CH 401-Food Chemistry,ME 321-Mechanics of Deformable Bodies,CL 221-Chemical Engineering Thermodynamics,,,
19510082,Scarlet Reeves,1,MA 603-Nonlinear Analysis with Applications,,,,,
22510767,Clark Tate,1,MA 603-Nonlinear Analysis with Applications,MSE 310-Physics of Materials,MSE 209-Material Thermodynamics and Kinetics,ME 636-Fuel Cell and Battery Systems,MA 624-Partial Differential Equations,HS 643-Indian and Western Cultural Theory
23110408,Skye Truong,4,CL 221-Chemical Engineering Thermodynamics,HS 632-A Multilingual Nation,PH 607-Topics in Quantum and Statistical Mechanics,MSE 625-Thermodynamics of thin film growth,CL 604-Advanced Reaction Engineering,
23510619,Ayan Maldonado,2,MA 603-Nonlinear Analysis with Applications,HS 632-A Multilingual Nation,MA 624-Partial Differential Equations,,,
19510265,Elaina Smith,4,CH 401-Food Chemistry,ES 243-Biology for Engineers,HS 632-A Multilingual Nation,CL 628-Liquid State Theory,MA 624-Partial Differential Equations,
21520709,Liam Lugo,2,MSE 310-Physics of Materials,PH 607-Topics in Quantum and Statistical Mechanics,ME 636-Fuel Cell and Battery Systems,,,
20520037,Kaylie Rosales,4,MSE 310-Physics of Materials,MSE 209-Material Thermodynamics and Kinetics,MSE 401-Introduction to Polymer Physics and Processing,MA 603-Nonlinear Analysis with Applications,,
23520334,Wilder Travis,2,MS 404-Neuromarketing,MSE 625-Thermodynamics of thin film growth,,,,
22520700,Mazikee House,1,HS 632-A Multilingual Nation,MA 603-Nonlinear Analysis with Applications,ES 243-Biology for Engineers,MSE 310-Physics of Materials,HS 643-Indian and Western Cultural Theory,
21110239,Yehuda Travis,4,EH 617-Advanced Field Techniques in Earth Sciences,ES 243-Biology for Engineers,HS 649-Public Policy and its Impact Evaluation,PH 607-Topics in Quantum and Statistical Mechanics,ME 321-Mechanics of Deformable Bodies,MSE 401-Introduction to Polymer Physics and Processing
23110142,Mazikee Hardy,3,ES 243-Biology for Engineers,MSE 401-Introduction to Polymer Physics and Processing,MSE 209-Material Thermodynamics and Kinetics,ES 623-Biomolecular Materials Science,ME 321-Mechanics of Deformable Bodies,
20510198,Jayceon Todd,2,ME 321-Mechanics of Deformable Bodies,HS 643-Indian and Western Cultural Theory,,,,
20110843,Zariah Nielsen,4,CE 304-Concrete Design,HS 649-Public Policy and its Impact Evaluation,MSE 401-Introduction to Polymer Physics and Processing,ES 623-Biomolecular Materials Science,,
23520175,Tru Rocha,2,MSE 401-Introduction to Polymer Physics and Processing,CH 401-Food Chemistry,ES 623-Biomolecular Materials Science,MA 624-Partial Differential Equations,HS 643-Indian and Western Cultural Theory,CL 221-Chemical Engineering Thermodynamics
22520208,Emmie Weiss,4,CH 401-Food Chemistry,EH 617-Advanced Field Techniques in Earth Sciences,MA 624-Partial Differential Equations,CE 304-Concrete Design,ME 321-Mechanics of Deformable Bodies,CL 604-Advanced Reaction Engineering
19520334,Koa Burgess,2,EH 617-Advanced Field Techniques in Earth Sciences,HS 643-Indian and Western Cultural Theory,,,,
22520523,Emory Munoz,1,MA 603-Nonlinear Analysis with Applications,MA 605-Commutative Algebra,ES 243-Biology for Engineers,CL 221-Chemical Engineering Thermodynamics,ES 623-Biomolecular Materials Science,ES 613-Modern Control Theory
21110029,Justin Reilly,1,PH 607-Topics in Quantum and Statistical Mechanics,HS 643-Indian and Western Cultural Theory,MSE 401-Introduction to Polymer Physics and Processing,MA 624-Partial Differential Equations,EH 617-Advanced Field Techniques in Earth Sciences,ES 623-Biomolecular Materials Science
20520536,Tori Lim,2,CL 604-Advanced Reaction Engineering,MSE 209-Material Thermodynamics and Kinetics,CG 506-Experimental Techniques in Cognitive Science,ME 321-Mechanics of Deformable Bodies,,
20510040,Cal Simpson,1,MSE 310-Physics of Materials,CH 401-Food Chemistry,CL 628-Liquid State Theory,HS 643-Indian and Western Cultural Theory,,
23510258,Anastasia Cox,4,MSE 310-Physics of Materials,HS 643-Indian and Western Cultural Theory,CH 401-Food Chemistry,MA 603-Nonlinear Analysis with Applications,,
22520911,Connor Benjamin,1,MA 603-Nonlinear Analysis with Applications,CH 401-Food Chemistry,CL 628-Liquid State Theory,ME 636-Fuel Cell and Battery Systems,MSE 209-Material Thermodynamics and Kinetics,
22520210,Jianna Schultz,4,ME 321-Mechanics of Deformable Bodies,CL 604-Advanced Reaction Engineering,HS 649-Public Policy and its Impact Evaluation,CH 401-Food Chemistry,MSE 310-Physics of Materials,
23510039,Cody Love,2,ES 623-Biomolecular Materials Science,MSE 401-Introduction to Polymer Physics and Processing,,,,
23520294,Avianna Caldwell,2,HS 632-A Multilingual Nation,MSE 209-Material Thermodynamics and Kinetics,HS 643-Indian and Western Cultural Theory,MSE 401-Introduction to Polymer Physics and Processing,MSE 625-Thermodynamics of thin film growth,MA 624-Partial Differential Equations
22520008,Rylan Levy,2,ES 623-Biomolecular Materials Science,MA 603-Nonlinear Analysis with Applications,,,,
23520678,Flora Case,1,PH 607-Topics in Quantum and Statistical Mechanics,CL 221-Chemical Engineering Thermodynamics,,,,
19110730,Bentlee Serrano,4,MA 624-Partial Differential Equations,CL 628-Liquid State Theory,HS 643-Indian and Western Cultural Theory,EH 617-Advanced Field Techniques in Earth Sciences,,
19110404,Allie Delgado,4,CL 604-Advanced Reaction Engineering,ES 613-Modern Control Theory,EH 617-Advanced Field Techniques in Earth Sciences,HS 643-Indian and Western Cultural Theory,ES 623-Biomolecular Materials Science,
21510576,Colt Ellis,3,ME 636-Fuel Cell and Battery Systems,MSE 209-Material Thermodynamics and Kinetics,PH 607-Topics in Quantum and Statistical Mechanics,CG 506-Experimental Techniques in Cognitive Science,,
19110745,Ayla Malone,1,PH 607-Topics in Quantum and Statistical Mechanics,,,,,
19520369,Ruben Watts,4,CL 221-Chemical Engineering Thermodynamics,MSE 401-Introduction to Polymer Physics and Processing,ES 613-Modern Control Theory,MA 603-Nonlinear Analysis with Applications,,
20520573,Melissa Person,2,HS 643-Indian and Western Cultural Theory,EH 617-Advanced Field Techniques in Earth Sciences,MA 624-Partial Differential Equations,MSE 625-Thermodynamics of thin film growth,,
21520260,Moses Walter,2,MSE 209-Material Thermodynamics and Kinetics,ES 613-Modern Control Theory,EH 617-Advanced Field Techniques in Earth Sciences,CL 221-Chemical Engineering Thermodynamics,CH 401-Food Chemistry,ES 243-Biology for Engineers
23510667,Penny Lugo,4,MSE 401-Introduction to Polymer Physics and Processing,EH 617-Advanced Field Techniques in Earth Sciences,ME 321-Mechanics of Deformable Bodies,ES 623-Biomolecular Materials Science,ME 636-Fuel Cell and Battery Systems,ES 243-Biology for Engineers
19110026,Santos Bartlett,2,MS 404-Neuromarketing,MSE 209-Material Thermodynamics and Kinetics,MSE 401-Introduction to Polymer Physics and Processing,PH 607-Topics in Quantum and Statistical Mechanics,,
23110674,Aubrielle Wells,3,HS 643-Indian and Western Cultural Theory,MSE 310-Physics of Materials,ME 321-Mechanics of Deformable Bodies,MSE 401-Introduction to Polymer Physics and Processing,,
23110764,Max Andersen,2,MSE 209-Material Thermodynamics and Kinetics,ES 243-Biology for Engineers,ME 321-Mechanics of Deformable Bodies,MA 603-Nonlinear Analysis with Applications,,
21510297,Zoie Ventura,1,MSE 625-Thermodynamics of thin film growth,EH 617-Advanced Field Techniques in Earth Sciences,ES 623-Biomolecular Materials Science,MSE 310-Physics of Materials,,
20520785,Branson Cameron,3,CL 604-Advanced Reaction Engineering,HS 643-Indian and Western Cultural Theory,ME 321-Mechanics of Deformable Bodies,,,
23520542,Julie Park,3,CL 221-Chemical Engineering Thermodynamics,ES 623-Biomolecular Materials Science,HS 643-Indian and Western Cultural Theory,CS 303-Mathematical Foundations for AI,MSE 401-Introduction to Polymer Physics and Processing,MSE 209-Material Thermodynamics and Kinetics
20520104,Daxton Bates,1,MA 603-Nonlinear Analysis with Applications,MSE 401-Introduction to Polymer Physics and Processing,ES 613-Modern Control Theory,ME 636-Fuel Cell and Battery Systems,,
21110413,Madilyn Day,2,MSE 310-Physics of Materials,MS 404-Neuromarketing,EH 617-Advanced Field Techniques in Earth Sciences,ES 613-Modern Control Theory,MSE 401-Introduction to Polymer Physics and Processing,
19520122,Kayson Dorsey,3,MSE 209-Material Thermodynamics and Kinetics,ES 613-Modern Control Theory,ME 636-Fuel Cell and Battery Systems,MA 603-Nonlinear Analysis with Applications,,
19520246,Addyson Lynn,2,ES 613-Modern Control Theory,MA 603-Nonlinear Analysis with Applications,MSE 625-Thermodynamics of thin film growth,MSE 209-Material Thermodynamics and Kinetics,HS 649-Public Policy and its Impact Evaluation,MSE 401-Introduction to Polymer Physics and Processing
19510674,Zechariah Cervantes,2,CL 221-Chemical Engineering Thermodynamics,PH 607-Topics in Quantum and Statistical Mechanics,MA 603-Nonlinear Analysis with Applications,CE 304-Concrete Design,MA 624-Partial Differential Equations,
21520866,Aylin Ford,3,CS 303-Mathematical Foundations for AI,MA 624-Partial Differential Equations,CL 628-Liquid State Theory,CL 221-Chemical Engineering Thermodynamics,,
23520653,Luis Travis,2,CL 221-Chemical Engineering Thermodynamics,MS 404-Neuromarketing,EH 617-Advanced Field Techniques in Earth Sciences,,,
21520009,Mazikee McGee,1,HS 649-Public Policy and its Impact Evaluation,,,,,
23110951,Conner Copeland,2,CH 401-Food Chemistry,MSE 209-Material Thermodynamics and Kinetics,ME 636-Fuel Cell and Battery Systems,CL 221-Chemical Engineering Thermodynamics,,
21510920,Dayana Day,4,CH 401-Food Chemistry,MA 624-Partial Differential Equations,CL 221-Chemical Engineering Thermodynamics,MSE 401-Introduction to Polymer Physics and Processing,ES 613-Modern Control Theory,
19110352,Kayson Hail,4,CL 221-Chemical Engineering Thermodynamics,HS 643-Indian and Western Cultural Theory,ME 321-Mechanics of Deformable Bodies,HS 632-A Multilingual Nation,MSE 209-Material Thermodynamics and Kinetics,MA 624-Partial Differential Equations
19520407,Lainey Lawrence,3,MSE 625-Thermodynamics of thin film growth,ME 321-Mechanics of Deformable Bodies,ES 613-Modern Control Theory,HS 643-Indian and Western Cultural Theory,CL 221-Chemical Engineering Thermodynamics,
22520608,Kaleb Cortez,3,MSE 401-Introduction to Polymer Physics and Processing,MA 603-Nonlinear Analysis with Applications,ES 613-Modern Control Theory,CH 401-Food Chemistry,MSE 209-Material Thermodynamics and Kinetics,ES 623-Biomolecular Materials Science
22520975,Haven Vang,1,ES 613-Modern Control Theory,,,,,
22110811,Jimmy Howell,2,ES 413-Deep Learning,CH 401-Food Chemistry,ME 636-Fuel Cell and Battery Systems,EH 617-Advanced Field Techniques in Earth Sciences,MA 603-Nonlinear Analysis with Applications,MSE 209-Material Thermodynamics and Kinetics
21510042,Mckenna Cruz,2,HS 643-Indian and Western Cultural Theory,MSE 401-Introduction to Polymer Physics and Processing,CE 304-Concrete Design,MSE 310-Physics of Materials,ES 415-Nature-inspired Materials Design,ME 636-Fuel Cell and Battery Systems
22520585,Ryan Reynolds,3,ME 636-Fuel Cell and Battery Systems,ES 243-Biology for Engineers,ES 613-Modern Control Theory,MSE 401-Introduction to Polymer Physics and Processing,MA 603-Nonlinear Analysis with Applications,EH 617-Advanced Field Techniques in Earth Sciences
22110129,Isabelle Harris,2,CH 401-Food Chemistry,CL 604-Advanced Reaction Engineering,,,,
19510598,Samuel Walters,3,ME 321-Mechanics of Deformable Bodies,MSE 310-Physics of Materials,MA 624-Partial Differential Equations,,,
22110410,Samara Ali,4,PH 607-Topics in Quantum and Statistical Mechanics,ES 243-Biology for Engineers,CG 506-Experimental Techniques in Cognitive Science,HS 632-A Multilingual Nation,MA 603-Nonlinear Analysis with Applications,
20110032,Arjun Krueger,1,CL 604-Advanced Reaction Engineering,ES 243-Biology for Engineers,HS 649-Public Policy and its Impact Evaluation,MA 603-Nonlinear Analysis with Applications,,
22520302,Kamari Jennings,2,ES 243-Biology for Engineers,MSE 401-Introduction to Polymer Physics and Processing,ME 321-Mechanics of Deformable Bodies,EH 617-Advanced Field Techniques in Earth Sciences,CL 221-Chemical Engineering Thermodynamics,MA 605-Commutative Algebra
22110987,Corbin Jensen,1,ES 613-Modern Control Theory,ME 321-Mechanics of Deformable Bodies,CE 304-Concrete Design,HS 643-Indian and Western Cultural Theory,CL 604-Advanced Reaction Engineering,
21520596,Jane Brady,1,ES 623-Biomolecular Materials Science,ES 243-Biology for Engineers,MA 603-Nonlinear Analysis with Applications,ME 321-Mechanics of Deformable Bodies,MSE 209-Material Thermodynamics and Kinetics,EH 617-Advanced Field Techniques in Earth Sciences
20110565,Reed McKay,4,MA 624-Partial Differential Equations,MSE 310-Physics of Materials,MSE 209-Material Thermodynamics and Kinetics,HS 643-Indian and Western Cultural Theory,ME 321-Mechanics of Deformable Bodies,EH 617-Advanced Field Techniques in Earth Sciences
20110930,Leanna Murphy,3,ES 413-Deep Learning,MA 603-Nonlinear Analysis with Applications,ES 613-Modern Control Theory,PH 607-Topics in Quantum and Statistical Mechanics,CL 221-Chemical Engineering Thermodynamics,
20520348,Cameron Frye,2,MA 603-Nonlinear Analysis with Applications,MSE 310-Physics of Materials,MSE 625-Thermodynamics of thin film growth,ME 321-Mechanics of Deformable Bodies,ES 623-Biomolecular Materials Science,HS 643-Indian and Western Cultural Theory
21110527,Raya McCarty,2,PH 607-Topics in Quantum and Statistical Mechanics,MSE 310-Physics of Materials,MSE 209-Material Thermodynamics and Kinetics,ES 243-Biology for Engineers,,
22110539,Blaise Conrad,2,EH 617-Advanced Field Techniques in Earth Sciences,MSE 310-Physics of Materials,CH 401-Food Chemistry,ME 636-Fuel Cell and Battery Systems,ME 321-Mechanics of Deformable Bodies,CL 221-Chemical Engineering Thermodynamics
22520038,Bexley Jacobson,1,MSE 209-Material Thermodynamics and Kinetics,MA 603-Nonlinear Analysis with Applications,ES 243-Biology for Engineers,CL 221-Chemical Engineering Thermodynamics,,
23520518,Legacy Nichols,4,MSE 209-Material Thermodynamics and Kinetics,MA 624-Partial Differential Equations,MA 603-Nonlinear Analysis with Applications,HS 643-Indian and Western Cultural Theory,CL 604-Advanced Reaction Engineering,CS 303-Mathematical Foundations for AI
23520808,Aliyah Reed,3,HS 649-Public Policy and its Impact Evaluation,HS 643-Indian and Western Cultural Theory,EH 617-Advanced Field Techniques in Earth Sciences,MA 603-Nonlinear Analysis with Applications,CL 221-Chemical Engineering Thermodynamics,
20510848,Easton Walker,3,ME 321-Mechanics of Deformable Bodies,CE 624-River Engineering,EH 617-Advanced Field Techniques in Earth Sciences,HS 643-Indian and Western Cultural Theory,,
22520308,Hazel Glover,3,HS 643-Indian and Western Cultural Theory,MA 624-Partial Differential Equations,EH 617-Advanced Field Techniques in Earth Sciences,,,
20110755,Mack Serrano,1,CL 221-Chemical Engineering Thermodynamics,,,,,
21510781,Allie Barnes,1,MSE 209-Material Thermodynamics and Kinetics,CL 221-Chemical Engineering Thermodynamics,HS 649-Public Policy and its Impact Evaluation,CL 628-Liquid State Theory,MA 605-Commutative Algebra,CS 303-Mathematical Foundations for AI
21520883,Damian Ward,1,CL 604-Advanced Reaction Engineering,EH 617-Advanced Field Techniques in Earth Sciences,ES 243-Biology for Engineers,,,
22510638,Ariana Stuart,1,ME 321-Mechanics of Deformable Bodies,,,,,
23510380,Dion Black,4,MA 624-Partial Differential Equations,EH 617-Advanced Field Techniques in Earth Sciences,CS 303-Mathematical Foundations for AI,CL 221-Chemical Engineering Thermodynamics,,
20110229,Molly Lozano,1,CH 401-Food Chemistry,ES 623-Biomolecular Materials Science,ES 415-Nature-inspired Materials Design,HS 643-Indian and Western Cultural Theory,ES 613-Modern Control Theory,MSE 625-Thermodynamics of thin film growth
20510503,Boone Knox,4,MSE 401-Introduction to Polymer Physics and Processing,MSE 310-Physics of Materials,PH 607-Topics in Quantum and Statistical Mechanics,MA 624-Partial Differential Equations,CE 304-Concrete Design,
20510959,Kallie Romero,3,ES 243-Biology for Engineers,CS 303-Mathematical Foundations for AI,ES 623-Biomolecular Materials Science,ES 613-Modern Control Theory,,
19510927,Bryson Hall,4,CS 303-Mathematical Foundations for AI,EH 617-Advanced Field Techniques in Earth Sciences,MA 603-Nonlinear Analysis with Applications,ES 613-Modern Control Theory,CL 604-Advanced Reaction Engineering,CL 221-Chemical Engineering Thermodynamics
